yr,sero,strainID,coord1,coord2,is_missAG
1994,1,00532/94,5.39361612698928,-2.7917924020172307,0
1994,1,00817/94,5.465595925894509,-3.16494910713212,0
1994,1,01495/94,4.971193871946566,-3.164424952811916,0
1995,1,00229/95,4.606237884558349,-1.9846820424958391,0
1995,1,00257/95,4.702978959385659,-1.834281923118567,0
1995,1,00288/95,4.7545338828192305,-1.8570477126846343,0
1995,1,00410/95,5.062181027825703,-2.400105557174636,0
1996,1,00942/96,5.867239531275851,-3.2885155435314233,0
1996,1,01231/96,4.46948654174009,-2.3308407795644306,0
1997,1,00382/97,3.994213303838931,-1.916024191356936,0
1997,1,02080/97,4.6707256098230205,-2.9605538820839183,0
1997,1,02588/97,4.766349223706923,-2.8580365102848546,0
1997,1,04772/97,3.8243922026301234,-2.242896848504586,0
1998,1,00141/98,5.612602362113186,-2.1911766118455978,0
1998,1,00422/98,4.556690972617776,-2.1807502954653795,0
1998,1,02128/98,3.391684689894429,-1.147706551281107,0
1998,1,06810/98,5.806424655029245,-3.276514713042821,0
1998,1,06870/98,2.0924524172763204,-1.4465877665246252,0
1999,1,00380/99,4.600870805374153,-2.5121925504830007,0
1999,1,00692/99,3.891302164232554,-2.7292819690749113,0
1999,1,03739/99,5.871998404996596,-3.3226109830601485,0
2000,1,01236/00,4.720478549393364,-1.7895230072537556,0
2000,1,01349/00,4.706284059220312,-2.3055947721778582,0
2000,1,02059/00,4.501950114467079,-2.1920178598323696,0
2000,1,05580/00,4.622219312380628,-2.4825131279261003,0
2000,1,05899/00,4.001769474981212,-1.6326790950779095,0
2001,1,00355/01,4.858817155472412,-1.754451901211618,0
2001,1,02633/01,4.347827334850606,-1.9436832743549,0
2001,1,04601/01,4.331882075899144,-2.1207369931432503,0
2001,1,04774/01,6.305903261574829,-3.4404986429827176,0
2002,1,00644/02,3.486875573208286,-1.2851500279598047,0
2002,1,00731/02,3.8048387905906305,-1.416233209664255,0
2002,1,01459/02,4.357180607654113,-2.542879097722048,0
2002,1,03030/02,5.287144142092649,-2.331244281436285,0
2003,1,02371/03,5.123699096593967,-1.9657759819404137,1
2003,1,30786/03,5.582360208523621,-2.5974752720971677,1
2003,1,02150/03,5.041976573844625,-1.783041832192478,1
2003,1,30720/03,5.318892668736987,-2.780617818062984,1
2003,1,30683/03,5.730123052745924,-3.1186380086543957,1
2003,1,01203/03,4.921768445534989,-1.9303090435404626,1
2003,1,N03-061,4.54599146634164,-1.8737387455502699,1
2003,1,00596/03,4.591508166282954,-1.7900205773108575,1
2004,1,00068/04,4.556392748977329,-1.5293738056446402,0
2004,1,00088/04,5.88992473738886,-3.1931330962789968,0
2004,1,00477/04,4.827902085319012,-2.44997775598235,0
2004,1,00479/04,4.44235439051315,-2.390371831691593,0
2004,1,00725/04,4.626623583588579,-2.050667348977075,0
